Time (UTC),Open,High,Low,Close,Volume 
2015.06.23 01:00:00,0.77302,0.77357,0.7695,0.77043,15049.89
2015.06.23 05:00:00,0.77043,0.77448,0.77022,0.77236,18684.96
2015.06.23 09:00:00,0.77233,0.77321,0.76856,0.76947,19725.57
2015.06.23 13:00:00,0.76947,0.77487,0.768,0.77244,21043.19
2015.06.23 17:00:00,0.77244,0.77444,0.77221,0.77373,9453.51
2015.06.23 21:00:00,0.77384,0.77592,0.77279,0.77466,9582.19
2015.06.24 01:00:00,0.77467,0.77519,0.77132,0.77156,10889.43
2015.06.24 05:00:00,0.77155,0.77715,0.77155,0.77549,18762.48
2015.06.24 09:00:00,0.77548,0.77577,0.77255,0.77276,19590.47
2015.06.24 13:00:00,0.77276,0.77297,0.76838,0.7705,20139.37
2015.06.24 17:00:00,0.7705,0.77168,0.77023,0.77053,9471.92
2015.06.24 21:00:00,0.77064,0.77202,0.76974,0.77196,11110.76
2015.06.25 01:00:00,0.77196,0.77491,0.77141,0.77436,13215.99
2015.06.25 05:00:00,0.77436,0.77496,0.77243,0.77331,17538.08
2015.06.25 09:00:00,0.77331,0.77482,0.77273,0.7738,18176.5
2015.06.25 13:00:00,0.77379,0.77524,0.77341,0.77444,15016.51
2015.06.25 17:00:00,0.77443,0.7753,0.7737,0.77385,9543.72
2015.06.25 21:00:00,0.77385,0.77433,0.77248,0.77277,12406.56
2015.06.26 01:00:00,0.77277,0.77292,0.77102,0.772,13564.24
2015.06.26 05:00:00,0.77204,0.77221,0.76967,0.77077,15093.71
2015.06.26 09:00:00,0.77076,0.77081,0.7646,0.76464,16834.38
2015.06.26 13:00:00,0.76465,0.76587,0.76309,0.76508,19684.85
2015.06.26 17:00:00,0.76508,0.76637,0.76445,0.76637,6670.93
2015.06.28 21:00:00,0.76268,0.7648,0.75888,0.76331,16784.18
2015.06.29 01:00:00,0.76332,0.76942,0.76332,0.7651,15653.89
2015.06.29 05:00:00,0.7651,0.76702,0.76328,0.76589,24177.8
2015.06.29 09:00:00,0.76589,0.76739,0.76473,0.76678,18322.79
2015.06.29 13:00:00,0.76674,0.76863,0.76432,0.76861,21208.51
